id,name,emoji,category,family,climate,difficulty,growthTime
0,Schoenoxiphium ecklonii var. ecklonii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
1,Cyperus violifolia,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
2,Carex viridula var. viridula,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
3,Mariscus phleoides,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
4,Tetraria compar,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
5,Fimbristylis schulzii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
6,Scirpus orbicephala,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
7,Trichophorum bracteatum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
8,Scirpus uniflorum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
9,Blysmopsis exilis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
10,Carex arcatica f. taldycola,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
11,Carex Ã prolixa,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
12,Carex bigelowii subsp. ensifolia,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
13,Carex bigelowii subsp. hyperborea,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
14,Carex capitata subsp. arctogena,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
15,Kobresia bucharica,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
16,Carex caespitosa var. inumbrata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
17,Carex caespitosa f. retorta,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
18,Carex cyperoides,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
19,Carex depressa subsp. transsilvanica,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
20,Carex Ã descendens,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
21,Carex divisa var. coarcta,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
22,Carex dominii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
23,Carex filipes subsp. oligostachys,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
24,Carex flacca subsp. cuspidata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
25,Carex fujidae,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
26,Carex glauca subsp. serrulata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
27,Carex graciliformis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
28,Carex Ã grahamii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
29,Carex karoi var. selengensis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
30,Carex kattegatensis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
31,Carex krascheninnikowii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
32,Carex leerseana,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
33,Carex litwinowii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
34,Carex lumnitzeri,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
35,Carex musartiana,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
36,Carex nigra subsp. juncella,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
37,Carex nigrita,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
38,Carex pairae subsp. lumnitzeri,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
39,Carex pediformis subsp. rhizodes,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
40,Carex platyrhyncha,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
41,Carex polygama subsp. mutica,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
42,Carex putjatini,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
43,Carex pyrenaica var. micropoda,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
44,Carex rigidioides,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
45,Carex squamigera,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
46,Carex stenophylla subsp. stenophylloides,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
47,Carex umbrosa subsp. huetiana,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
48,Carex xyphium,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
49,Cyperus latespicatus var. setiformis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
50,Cyperus longus subsp. badius,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
51,Cyperus truncatus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
52,Eleocharis argyrolepis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
53,Cyperus globularis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
54,Cyperus intersita,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
55,Cyperus kamtschatica,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
56,Eleocharis mamillata subsp. austriaca,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
57,Eleocharis palustris var. mamillata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
58,Eleocharis parvula subsp. oppermannii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
59,Cyperus paucidentata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
60,Cyperus pauciflora,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
61,Cyperus pellucida,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
62,Cyperus petasata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
63,Cyperus quinqueflora,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
64,Elyna myosuroides,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
65,Eriophorum gracile subsp. asiaticum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
66,Eriophorum gracile subsp. coreanum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
67,Eriophorum gracile var. coreanum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
68,Scirpus fauriei subsp. vaginatus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
69,Eriophorum vaginatum subsp. fauriei,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
70,Holoschoenus romanus subsp. holoschoenus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
71,Kobresia capillifolia subsp. pamirica,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
72,Mariscus cyri,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
73,Pycreus rehmannii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
74,Pycreus nilagiricus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
75,Schoenoplectus kalmussii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
76,Schoenoplectus komarovii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
77,Schoenoplectus nipponicus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
78,Schoenoplectus triquetriformis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
79,Scirpus etuberculatus subsp. nipponicus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
80,Scirpus kalmussii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
81,Scirpus triquetriformis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
82,Trichophorum uniflorum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
83,Cyperus potundus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
84,Mariscus compactus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
85,Carex inflata,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
86,Carex fusca subsp. dacica,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
87,Carex vulgaris var. juncella,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
88,Eleocharis pellucida var. maximoviczii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
89,Eleocharis quinqueflora var. meridionalis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
90,Mariscus umbilensis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
91,Scirpus maritimus var. nobilis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
92,Scirpus loeteflorens,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
93,Isolepis leucocarpa,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
94,Anosporum monocephalum,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
95,Cyperus eragrostis var. eragrostis,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
96,Carex ragnoldsii,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
97,Pycreus rufescens,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
98,Scirpus microcephalus,🪴,Species,Cyperaceae,Unknown,Unknown,Unknown
